,balance_RK,balance_p_value,balance_rvalue,balance_stderr,decay_RC_cost,decay_RC_mean,decay_RC_median,decay_RC_std,decay_amnt,euler_RC_mean,euler_RC_median,euler_RC_min_cost,euler_RC_std,euler_RK_mean,euler_RK_median,euler_RK_min_cost,euler_RK_std,euler_cost,euler_cost_mean,euler_test_cost,filename
145,123.91779121425748,1.7142243989651037e-10,-0.8138506430783634,0.0009346765756763217,,,,,,177.43472190500256,184.1534446904658,201.06671029939363,34.80661768456245,118.7270827276368,118.66119753025262,113.10515289569582,13.229109512601072,5.031160419934567,5.583214806927178,,5eaf4db42b049537e546714a931b65f2d8c6e77a.csv
2100,43.6556674663722,4.5380222673107145e-06,-0.6549155926766573,0.004287783319981207,38.116977902167356,79.52484825300891,80.79290643658308,17.691287174238763,50.0,103.82290208016975,101.60090423856852,76.64388811271779,35.7064193891342,41.989045229477256,42.86594902161923,44.22526088070384,7.338851559822308,49.3676467130946,55.987155457926804,,edac4ce587b37db64c1d98912eab19adb4548121.csv
1396,89.46624316680764,2.519467934984317e-13,-0.8715830204761806,0.0010198962929684119,,,,,,,,,,,,,,,,,23641fd21e2544d4c1b9c62c02300fa0b46d8750.csv
1174,62.94992164576647,1.8425419386219486e-06,-0.6678159214824053,0.002835170607930579,,,,,,158.86045849911136,148.99705108178736,148.99705108178736,22.320395498387654,68.94494616857608,70.79496616093762,60.55955652729869,6.965375596938903,58.007964419061366,15.411287184546746,,d9f752b6e98665a47db50d70d049a3f3f40f2bb7.csv
389,77.79587231276275,1.8403077051297393e-12,-0.8563710803403622,0.0012573118191312597,,,,,,1561.7695143227315,518.0752712487135,570.0386645354266,3193.6440798200447,116.1751410282714,79.5800115890874,108.00690888407159,131.9729644773351,40.13174574709828,28.933615004429623,,b74cc27dc809c8b7827dd34fb1593b75876a5a5d.csv
803,88.6432350270568,3.3804706229265406e-06,-0.6613890487948629,0.002075352040882373,17.526579155299128,108.55918039767722,109.72415501152544,13.08730020343177,27.0,124.84410628529147,127.33783299603499,126.3412404312716,12.167662975163429,88.91793972584581,90.67073231274033,95.43370810376015,6.087135796352221,35.734799456819786,22.724489320329347,,068033d83af8c207f7672ac069b16df9ea6e01d7.csv
2040,82.79252831500708,0.002290690924778482,-0.7654672727482621,0.0030613814570536442,,,,,,,,,,,,,,,,,1129dfc6c17fe0b56ba65a1375d85cd719e70668.csv
646,50.936561826257815,1.4175123872064595e-06,-0.7222830473230927,0.003323084777806908,67.76313123218482,87.71861124830669,72.29248252111725,27.45111754130899,3.0,220.54195107381383,193.23054123123856,198.2228252194889,97.10132314058131,85.76499665598524,82.30088989716188,82.31097931789165,23.994802745348203,3.470670744513407,3.6844977998980566,,fdcca4100cbbef1b6983b9cee3d610d39982daa1.csv
1686,100.1646470372674,5.772636735071652e-17,-0.9150496639967144,0.000704662461776016,,,,,,150.64386654731814,148.76014325773036,170.32278357065377,14.94637863534257,159.33698678420865,169.85058200432553,113.06992145818519,31.684511391804204,3.7025003780940926,38.79465675872513,,ab7ef3355baf13354e9ec73710cbee1edcd561c7.csv
2623,100.1646470372674,5.772636735071652e-17,-0.9150496639967144,0.000704662461776016,,,,,,150.64386654731814,148.76014325773036,170.32278357065377,14.94637863534257,159.33698678420865,169.85058200432553,113.06992145818519,31.684511391804204,3.7025003780940926,38.79465675872513,,ab7ef3355baf13354e9ec73710cbee1edcd561c7.csv
